mapillary_id,longitude,latitude
1284470425420887,-0.13426854,51.52019
1284470448754218,-0.13422485,51.51991
1284470595420870,-0.13361973,51.51988
430468195657267,-0.1345014,51.521427
430468198990600,-0.13457318,51.52158
430468232323930,-0.1345186,51.521503
430468275657259,-0.13467325,51.521732
430468292323924,-0.13471541,51.521378
566478041621781,-0.14395289,51.523743
566478058288446,-0.143932,51.52386
566478061621779,-0.1439269,51.523514
566478131621772,-0.14400618,51.523422
1495883197649756,-0.13636434,51.525524
23982527864693802,-0.13695322,51.52531
23982527884693800,-0.13896005,51.524887
23982527888027133,-0.13885768,51.524693
129400512903071,-0.14493866,51.51971
129400556236400,-0.14484972,51.51953
1338696463379797,-0.13575596,51.519547
1078223100891287,-0.14308693,51.525024
1078223104224620,-0.14315559,51.524895
1243133193356387,-0.13631824,51.52277
1243133206689719,-0.13840064,51.525726
1243133210023052,-0.13840076,51.525726
1243133236689716,-0.13764414,51.524452
152998590655538,-0.14417946,51.525974
152998630655534,-0.14433755,51.525597
331842599159802,-0.14435665,51.524475
331842629159799,-0.1440979,51.524605
331842635826465,-0.14438498,51.52455
331842655826463,-0.14427584,51.524544
331842659159796,-0.14435554,51.524693
331842679159794,-0.14416714,51.524498
331842689159793,-0.14426239,51.524513
331842715826457,-0.14428113,51.524605
422883856392938,-0.14024833,51.521683
422883893059601,-0.13782515,51.524643
422883909726266,-0.13683718,51.52373
422883916392932,-0.13933548,51.522514
422884009726256,-0.13692285,51.523865
1189787138259602,-0.1441442,51.523113
818177849693671,-0.14468263,51.52477
818177853027004,-0.14471836,51.5243
818177866360336,-0.14480029,51.525
818177869693669,-0.14429648,51.52427
818177876360335,-0.14505656,51.524647
818177879693668,-0.14471668,51.524364
2261959693979972,-0.14507206,51.519623
2261959833979958,-0.14493103,51.519596
2261959840646624,-0.14468022,51.51974
116530557668444,-0.1387503,51.52722
116530637668436,-0.13850388,51.527622
116530721001761,-0.13868423,51.52743
116530741001759,-0.13846312,51.527275
124213460146987,-0.1348517,51.521034
124213463480320,-0.13522923,51.521675
582418673460461,-0.14431447,51.524044
582418700127125,-0.14458688,51.52397
582418716793790,-0.1443057,51.52406
582418736793788,-0.14434528,51.524048
769487198739940,-0.14307906,51.52406
769487202073273,-0.14268567,51.523975
141643195156134,-0.13494378,51.521267
223525100531276,-0.13642478,51.52569
223525157197937,-0.13796426,51.525158
392620779604873,-0.1434995,51.5239
392620786271539,-0.14344218,51.523876
392620876271530,-0.14335242,51.523983
392620959604855,-0.14354055,51.523766
392620979604853,-0.1434134,51.52401
392621036271514,-0.14357595,51.524075
392621062938178,-0.1436565,51.523933
479509066842710,-0.13903895,51.52993
479509080176042,-0.13896005,51.529797
479509086842708,-0.13848987,51.529316
479509153509368,-0.13908534,51.52996
479509160176034,-0.13897991,51.529903
479509163509367,-0.1385053,51.529972
479509173509366,-0.13843337,51.529938
1458645928465514,-0.13974456,51.524155
1458646111798829,-0.14075051,51.524246
278281621713758,-0.14535555,51.523857
278281628380424,-0.14162149,51.52421
298496143077139,-0.13556571,51.5235
298496196410467,-0.13487557,51.523224
298496266410460,-0.13569236,51.52346
298496326410454,-0.13544999,51.523804
298496366410450,-0.13546737,51.523495
298496409743779,-0.13466004,51.52372
298496419743778,-0.13534018,51.523663
298496423077111,-0.13512196,51.523468
298496426410444,-0.13532813,51.52371
298496456410441,-0.13472044,51.523663
298496466410440,-0.13581964,51.523357
298496473077106,-0.1358382,51.523502
1068144857138093,-0.13874856,51.526184
2814738258669902,-0.14407735,51.524136
2814738265336568,-0.1442098,51.52397
2814738278669900,-0.14406043,51.523914
854698009459273,-0.14530659,51.52087
854698052792602,-0.14516085,51.521164
570159768146590,-0.13346118,51.521984
570159801479920,-0.13360856,51.521896
570159804813253,-0.13377205,51.522
570159898146577,-0.13350916,51.52213
570159901479910,-0.13336886,51.52206
570159904813243,-0.13358977,51.522083
757908892212009,-0.14418145,51.52811
852711776390553,-0.14289151,51.52079
852711779723886,-0.14307623,51.521
572060735976952,-0.14283182,51.525703
572060852643607,-0.14300735,51.526115
572060855976940,-0.14294828,51.526016
572060902643602,-0.1431534,51.525635
577837953797730,-0.14396478,51.523613
577838003797725,-0.14414012,51.523666
577838017131057,-0.14423753,51.52324
577838147131044,-0.14412805,51.52366
577838177131041,-0.14446457,51.523197
577838193797706,-0.14407612,51.52358
577838197131039,-0.14419028,51.523415
577838253797700,-0.14406444,51.52367
577838257131033,-0.14411204,51.523792
577838263797699,-0.14392206,51.52318
577838267131032,-0.1440419,51.523636
577838270464365,-0.14398186,51.52375
577838280464364,-0.14404306,51.52374
1762805427428104,-0.13872877,51.526623
1762805577428089,-0.13874957,51.525864
1762805687428078,-0.13843851,51.526604
1762805714094742,-0.13846804,51.526314
1762805744094739,-0.13857856,51.52631
1762805754094738,-0.13844104,51.526608
1762805824094731,-0.13842197,51.526028
1780531805901466,-0.14453073,51.52995
141565258516453,-0.13463727,51.520973
141565268516452,-0.13435696,51.520638
141565325183113,-0.13427633,51.52031
141565348516444,-0.13450956,51.52064
141565455183100,-0.13459142,51.520893
141565468516432,-0.13476765,51.52116
141565481849764,-0.13465527,51.520832
141565485183097,-0.13452132,51.520893
141565488516430,-0.13469692,51.520832
976453723022598,-0.14494385,51.531174
976453806355923,-0.14511733,51.531235
3324595321161248,-0.13847704,51.524696
3324595327827914,-0.13801706,51.52463
3324595334494580,-0.13827853,51.525223
3324595357827911,-0.138274,51.525223
3324595387827908,-0.13832788,51.524673
149706080758309,-0.13042426,51.528065
285825654403517,-0.13475786,51.519848
776302407053170,-0.14507392,51.531193
161707463078213,-0.14431868,51.530045
165581269328999,-0.14267364,51.520157
165581282662331,-0.14297503,51.51995
223463843932241,-0.1305084,51.523655
223463943932231,-0.13133924,51.52328
648791643349290,-0.12979178,51.526398
4723480261085554,-0.14481807,51.530964
4723480291085551,-0.14506012,51.53112
442417777508741,-0.14479335,51.53088
832821434336038,-0.13486531,51.521248
1529294287489579,-0.14360929,51.523598
1529294404156234,-0.14354715,51.523678
1529294520822889,-0.1437395,51.52375
1529294544156220,-0.14376634,51.523556
1529294647489543,-0.14412889,51.523495
